,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,dra,up,down
36,PVR,EQ,2017-07-05,1425.75,1425.8,1431.85,1402.1,1403.55,1407.2,1408.8,180666,254522799.25,10741,110937,61.4,1488.314285714286,1632.554493639876,1344.0740777886958
37,PVR,EQ,2017-07-06,1407.2,1414.15,1439.0,1408.0,1425.0,1421.2,1425.73,120416,171681176.2,14248,48969,40.67,1481.007142857143,1627.9093021183476,1334.1049835959384
38,PVR,EQ,2017-07-07,1421.2,1424.25,1465.0,1415.0,1418.0,1419.05,1441.63,317775,458114598.9,16051,115716,36.41,1470.642857142857,1612.6698202229645,1328.6158940627497
39,PVR,EQ,2017-07-10,1419.05,1430.2,1432.8,1418.2,1428.0,1425.4,1427.25,18091,25820466.05,936,8931,49.37,1460.3214285714287,1591.8934370177292,1328.7494201251282
40,PVR,EQ,2017-07-11,1425.4,1423.0,1425.25,1410.0,1417.15,1419.3,1418.31,84915,120435871.9,5905,29124,34.3,1449.5357142857142,1566.1814068012013,1332.8900217702271
41,PVR,EQ,2017-07-12,1419.3,1422.0,1444.0,1415.05,1422.0,1419.6,1428.55,155733,222472988.8,14142,83388,53.55,1437.9785714285713,1527.1770856822009,1348.7800571749417
42,PVR,EQ,2017-07-13,1419.6,1424.75,1439.9,1411.55,1418.05,1417.7,1423.41,86039,122468768.6,6790,28884,33.57,1427.5321428571426,1479.7825695339848,1375.2817161803005
43,PVR,EQ,2017-07-14,1417.7,1424.0,1425.95,1397.15,1404.05,1403.2,1408.63,164077,231124554.55,10041,107820,65.71,1420.0464285714284,1446.095626530016,1393.9972306128407
44,PVR,EQ,2017-07-17,1403.2,1406.0,1413.45,1370.15,1382.2,1381.95,1385.46,218713,303017140.8,11975,103877,47.49,1415.1607142857142,1442.3589658859523,1387.962462685476
45,PVR,EQ,2017-07-18,1381.95,1380.0,1394.0,1371.5,1384.0,1382.0,1382.95,211740,292826782.85,10090,148152,69.97,1413.4928571428572,1445.6875021142673,1381.2982121714472
46,PVR,EQ,2017-07-19,1382.0,1389.0,1401.3,1357.15,1385.3,1387.15,1377.9,336806,464085138.25,22936,187620,55.71,1411.3178571428575,1446.3099794902316,1376.3257347954834
47,PVR,EQ,2017-07-20,1387.15,1395.95,1413.45,1380.05,1383.5,1385.8,1395.62,378948,528868291.5,16032,206958,54.61,1409.6928571428575,1447.2571171032719,1372.1285971824432
48,PVR,EQ,2017-07-21,1385.8,1391.9,1392.0,1344.4,1370.95,1367.5,1371.28,252029,345601852.9,14355,120894,47.97,1404.4857142857145,1443.8799627642268,1365.0914658072022
49,PVR,EQ,2017-07-24,1367.5,1370.0,1383.4,1367.0,1370.0,1369.4,1372.31,134339,184355075.65,11930,73412,54.65,1400.4607142857146,1441.9548321000118,1358.9665964714175
50,PVR,EQ,2017-07-25,1369.4,1374.7,1398.0,1372.6,1381.0,1381.7,1386.8,243186,337250910.7,16199,133080,54.72,1398.639285714286,1441.0868131148018,1356.1917583137702
51,PVR,EQ,2017-07-26,1381.7,1389.0,1404.45,1344.0,1357.0,1354.4,1378.73,686032,945852727.6,27060,246005,35.86,1393.8678571428575,1440.228394193288,1347.5073200924269
52,PVR,EQ,2017-07-27,1354.4,1362.65,1368.6,1318.6,1340.0,1330.3,1336.26,332134,443818859.2,24648,134733,40.57,1387.5285714285717,1442.5232385026923,1332.5339043544511
53,PVR,EQ,2017-07-28,1330.3,1339.35,1352.45,1323.8,1340.0,1340.0,1336.4,109277,146038131.2,6322,38091,34.86,1381.4285714285718,1437.2665887270407,1325.5905541301029
54,PVR,EQ,2017-07-31,1340.0,1339.5,1354.0,1331.25,1341.55,1340.55,1343.18,133803,179721358.9,11860,90357,67.53,1375.8035714285718,1431.0706636581838,1320.5364791989598
55,PVR,EQ,2017-08-01,1340.55,1345.0,1378.0,1342.4,1377.0,1375.1,1366.97,301429,412043103.2,12980,191057,63.38,1372.6250000000002,1421.8275288593363,1323.4224711406641
56,PVR,EQ,2017-08-02,1375.1,1380.0,1389.9,1372.35,1375.0,1377.65,1381.13,213112,294336008.2,9220,140077,65.73,1369.764285714286,1411.8148492076548,1327.7137222209171
57,PVR,EQ,2017-08-03,1377.65,1377.0,1385.0,1362.0,1373.2,1374.05,1375.63,202693,278830670.75,8319,151231,74.61,1367.6821428571432,1405.2486501811868,1330.1156355330995
58,PVR,EQ,2017-08-04,1374.05,1374.7,1408.25,1370.55,1400.0,1400.2,1397.94,285632,399297659.0,20296,123494,43.24,1368.9857142857145,1409.8102436498377,1328.1611849215913
59,PVR,EQ,2017-08-07,1400.2,1405.0,1437.2,1381.1,1431.4,1430.45,1413.69,290183,410227956.3,15549,121711,41.94,1372.446428571429,1424.6513570786065,1320.2415000642513
60,PVR,EQ,2017-08-08,1430.45,1437.2,1445.0,1383.6,1410.0,1409.65,1416.52,293605,415896598.5,12056,159940,54.47,1374.0535714285718,1429.493496840411,1318.6136460167327
61,PVR,EQ,2017-08-09,1409.65,1415.0,1430.0,1352.2,1354.2,1358.0,1379.84,228114,314761138.6,19681,111571,48.91,1372.0678571428575,1427.6865812609765,1316.4491330247386
62,PVR,EQ,2017-08-10,1358.0,1349.0,1380.75,1301.1,1339.35,1332.6,1352.85,247374,334661007.05,12146,138339,55.92,1369.5750000000003,1429.0691076591106,1310.08089234089
63,PVR,EQ,2017-08-11,1332.6,1319.0,1340.4,1261.0,1284.65,1285.9,1297.19,354851,460309395.05,16208,136740,38.53,1363.6107142857145,1438.0460055286292,1289.1754230427998
64,PVR,EQ,2017-08-14,1285.9,1284.9,1307.9,1225.0,1293.0,1288.0,1268.79,401325,509197765.9,16925,162694,40.54,1356.9178571428572,1440.6199443068242,1273.2157699788902
65,PVR,EQ,2017-08-16,1288.0,1290.05,1333.45,1274.05,1328.0,1329.2,1296.35,363066,470660546.45,18155,254727,70.16,1355.1178571428572,1440.1268304895016,1270.108883796213
66,PVR,EQ,2017-08-17,1329.2,1329.0,1339.55,1296.5,1304.95,1301.25,1319.87,183800,242591771.9,10502,76560,41.65,1353.0428571428572,1441.9883880734633,1264.0973262122511
67,PVR,EQ,2017-08-18,1301.25,1300.85,1329.0,1285.0,1315.35,1321.75,1304.72,114016,148758735.5,7654,36631,32.13,1351.7392857142859,1442.0329704629683,1261.4456009656035
68,PVR,EQ,2017-08-21,1321.75,1321.75,1328.25,1274.0,1278.35,1280.65,1290.21,160371,206912135.05,7123,76369,47.62,1347.4607142857146,1445.3920652694237,1249.5293633020055
69,PVR,EQ,2017-08-22,1280.65,1280.65,1295.0,1249.0,1270.4,1272.35,1268.66,177930,225731937.8,13303,94365,53.03,1340.1214285714289,1444.329598296084,1235.9132588467737
70,PVR,EQ,2017-08-23,1272.35,1273.0,1282.9,1250.0,1257.7,1255.45,1259.46,173261,218215021.35,10919,92534,53.41,1331.3928571428573,1442.314991003596,1220.4707232821186
71,PVR,EQ,2017-08-24,1255.45,1258.0,1272.0,1253.3,1264.0,1263.55,1262.86,103862,131163063.45,7002,46965,45.22,1323.5000000000002,1437.0415207009173,1209.9584792990831
72,PVR,EQ,2017-08-28,1263.55,1265.0,1284.5,1258.75,1282.65,1276.25,1271.54,183234,232989955.65,19477,104440,57.0,1314.6464285714287,1421.5615240320908,1207.7313331107666
73,PVR,EQ,2017-08-29,1276.25,1275.0,1283.55,1253.1,1263.15,1261.5,1266.11,120692,152809276.4,5951,44382,36.77,1302.5785714285716,1389.4479403266307,1215.7092025305126
74,PVR,EQ,2017-08-30,1261.5,1269.4,1314.0,1266.85,1311.5,1309.95,1294.4,184144,238355169.85,13165,56150,30.49,1295.457142857143,1357.2395757243328,1233.6747099899533
75,PVR,EQ,2017-08-31,1309.95,1307.9,1330.0,1297.1,1322.0,1321.45,1313.26,164554,216102550.25,8247,72235,43.9,1292.8464285714288,1345.6860183952251,1240.0068387476324
76,PVR,EQ,2017-09-01,1321.45,1322.0,1350.0,1309.9,1328.55,1323.4,1331.34,208183,277163161.45,17580,84359,40.52,1292.1892857142861,1343.0925148482372,1241.286056580335
77,PVR,EQ,2017-09-04,1323.4,1322.0,1330.95,1296.15,1301.05,1310.25,1312.69,94097,123520432.4,6439,12983,13.8,1293.9285714285718,1345.5648245591237,1242.2923182980198
